frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
705,315,193,38,-1,-1,-1,-1
706,314,192,37,-1,-1,-1,-1
707,315,192,38,338,169,-1,-1
708,315,192,38,334,166,-1,-1
709,315,192,38,329,163,-1,-1
710,314,192,38,324,161,-1,-1
711,314,192,37,320,161,-1,-1
712,314,192,37,314,161,-1,-1
713,314,192,37,309,161,-1,-1
714,314,191,38,304,162,-1,-1
715,314,191,38,300,165,-1,-1
716,313,191,38,296,168,-1,-1
717,314,191,38,292,172,-1,-1
718,313,191,38,289,177,-1,-1
719,314,190,36,288,182,-1,-1
720,314,190,36,287,188,-1,-1
721,314,190,36,287,193,-1,-1
722,313,191,38,289,197,-1,-1
723,314,190,36,291,203,-1,-1
724,314,190,36,293,208,-1,-1
725,314,190,36,297,211,-1,-1
726,314,190,37,301,214,-1,-1
727,314,190,37,305,217,-1,-1
728,314,190,37,310,218,-1,-1
729,314,190,37,317,220,-1,-1
730,314,190,37,321,219,-1,-1
731,314,190,37,326,218,-1,-1
732,314,190,37,329,216,-1,-1
